    DATE,remainder
1876-01-01,-63.302295970703284
1876-01-02,-60.30246805678061
1876-01-03,-82.30264014285794
1876-01-04,-143.30281222893527
1876-01-05,-183.3029843150126
1876-01-06,-162.30315640108992
1876-01-07,-151.30332848716725
1876-01-08,-174.30350057324458
1876-01-09,-212.3036726593219
1876-01-10,-174.30384474539923
1876-01-11,-147.30401683147656
1876-01-12,-131.3041889175539
1876-01-13,-120.30436100363121
1876-01-14,-121.30453308970854
1876-01-15,-116.30470517578587
1876-01-16,-108.3048772618632
1876-01-17,-97.30504934794052
1876-01-18,-77.30522143401785
1876-01-19,-47.30539352009518
1876-01-20,-52.30556560617251
1876-01-21,-46.305737692249835
1876-01-22,-75.30590977832716
1876-01-23,-79.30608186440449
1876-01-24,-60.30625395048182
1876-01-25,-57.306426036559145
1876-01-26,-82.30659812263647
1876-01-27,-93.3067702087138
1876-01-28,-107.30694229479113
1876-01-29,-98.30711438086846
1876-01-30,-78.30728646694578
1876-01-31,-82.3074585530231
1876-02-01,-105.90699587347542
1876-02-02,-91.90716795955275
1876-02-03,-85.90734004563008
1876-02-04,-74.9075121317074
1876-02-05,-87.90768421778473
1876-02-06,-101.90785630386206
1876-02-07,-93.90802838993939
1876-02-08,-124.90820047601672
1876-02-09,-99.90837256209404
1876-02-10,-114.90854464817137
1876-02-11,-139.90871673424869
1876-02-12,-105.90888882032603
1876-02-13,-147.90906090640334
1876-02-14,-98.90923299248068
1876-02-15,-59.90940507855801
1876-02-16,-39.90957716463534
1876-02-17,-37.909749250712665
1876-02-18,-27.909921336789992
1876-02-19,-12.91009342286732
1876-02-20,-41.91026550894465
1876-02-21,-54.910437595021975
1876-02-22,7.089390318900698
1876-02-23,-9.91078176717663
1876-02-24,-44.91095385325396
1876-02-25,-64.91112593933128
1876-02-26,-53.91129802540861
1876-02-27,-21.91147011148594
1876-02-28,-18.911642197563268
1876-02-29,-72.9118142836406
1876-03-01,-59.45959379159292
1876-03-02,-45.45976587767025
1876-03-03,-71.45993796374758
1876-03-04,-30.460110049824905
1876-03-05,-65.46028213590223
1876-03-06,-62.46045422197956
1876-03-07,-67.46062630805689
1876-03-08,-88.46079839413422
1876-03-09,-73.46097048021154
1876-03-10,-82.46114256628887
1876-03-11,-64.4613146523662
1876-03-12,-65.46148673844353
1876-03-13,-74.46165882452085
1876-03-14,-81.46183091059818
1876-03-15,-54.46200299667551
1876-03-16,-80.46217508275284
1876-03-17,-102.46234716883016
1876-03-18,-98.46251925490749
1876-03-19,-105.46269134098482
1876-03-20,-104.46286342706215
1876-03-21,-113.46303551313947
1876-03-22,-130.4632075992168
1876-03-23,-101.46337968529413
1876-03-24,-96.46355177137146
1876-03-25,-105.46372385744878
1876-03-26,-124.46389594352611
1876-03-27,-111.46406802960344
1876-03-28,-70.46424011568077
1876-03-29,-27.464412201758094
1876-03-30,-24.464584287835407
1876-03-31,-28.464756373912735
1876-04-01,-73.88240892874006
1876-04-02,-44.88258101481739
1876-04-03,-64.88275310089472
1876-04-04,-93.88292518697205
1876-04-05,-78.88309727304937
1876-04-06,-66.8832693591267
1876-04-07,-86.88344144520403
1876-04-08,-70.88361353128136
1876-04-09,-48.88378561735868
1876-04-10,-43.88395770343601
1876-04-11,-64.88412978951334
1876-04-12,-116.88430187559067
1876-04-13,-135.884473961668
1876-04-14,-121.88464604774532
1876-04-15,-107.88481813382265
1876-04-16,-113.88499021989998
1876-04-17,-83.8851623059773
1876-04-18,-61.88533439205463
1876-04-19,-45.88550647813196
1876-04-20,-39.885678564209286
1876-04-21,-30.885850650286613
1876-04-22,-79.88602273636394
1876-04-23,-56.88619482244127
1876-04-24,-94.8863669085186
1876-04-25,-74.88653899459592
1876-04-26,-61.88671108067325
1876-04-27,-87.88688316675058
1876-04-28,-80.8870552528279
1876-04-29,-45.887227338905234
1876-04-30,-55.88739942498256
1876-05-01,-106.32409494855989
1876-05-02,-140.32426703463722
1876-05-03,-148.32443912071454
1876-05-04,-143.32461120679187
1876-05-05,-122.3247832928692
1876-05-06,-124.32495537894653
1876-05-07,-167.32512746502385
1876-05-08,-171.32529955110118
1876-05-09,-163.3254716371785
1876-05-10,-157.32564372325584
1876-05-11,-157.32581580933316
1876-05-12,-154.3259878954105
1876-05-13,-142.32615998148782
1876-05-14,-145.32633206756515
1876-05-15,-129.32650415364247
1876-05-16,-125.3266762397198
1876-05-17,-105.32684832579713
1876-05-18,-111.32702041187446
1876-05-19,-169.32719249795178
1876-05-20,-133.3273645840291
1876-05-21,-106.32753667010644
1876-05-22,-104.32770875618377
1876-05-23,-85.3278808422611
1876-05-24,-81.32805292833842
1876-05-25,-77.32822501441575
1876-05-26,-106.32839710049308
1876-05-27,-131.3285691865704
1876-05-28,-110.32874127264772
1876-05-29,-71.32891335872505
1876-05-30,-58.329085444802374
1876-05-31,-51.3292575308797
1876-06-01,-132.04622649195704
1876-06-02,-115.04639857803436
1876-06-03,-66.04657066411168
1876-06-04,-93.04674275018901
1876-06-05,-82.04691483626634
1876-06-06,-45.04708692234367
1876-06-07,-32.047259008420994
1876-06-08,-87.04743109449832
1876-06-09,-43.04760318057565
1876-06-10,-63.04777526665298
1876-06-11,-63.047947352730304
1876-06-12,-68.04811943880763
1876-06-13,-63.04829152488496
1876-06-14,-72.04846361096229
1876-06-15,-70.04863569703961
1876-06-16,-51.04880778311694
1876-06-17,-106.04897986919427
1876-06-18,-77.0491519552716
1876-06-19,-59.049324041348925
1876-06-20,-68.04949612742625
1876-06-21,-60.04966821350358
1876-06-22,-60.04984029958091
1876-06-23,-98.05001238565823
1876-06-24,-105.05018447173556
1876-06-25,-97.05035655781289
1876-06-26,-85.05052864389022
1876-06-27,-83.05070072996755
1876-06-28,-53.05087281604487
1876-06-29,-56.0510449021222
1876-06-30,-67.05121698819953
1876-07-01,-107.94811758990186
1876-07-02,-99.94828967597918
1876-07-03,-94.94846176205651
1876-07-04,-83.94863384813384
1876-07-05,-71.94880593421117
