,    DATE,remainder,lag1
260,1876-09-17,-100.7903977258084,-99.79022563973106
261,1876-09-18,-100.79056981188572,-100.7903977258084
262,1876-09-19,-106.79074189796304,-100.79056981188572
263,1876-09-20,-111.79091398404036,-106.79074189796304
264,1876-09-21,-116.7910860701177,-111.79091398404036
265,1876-09-22,-114.791258156195,-116.7910860701177
266,1876-09-23,-111.79143024227234,-114.791258156195
267,1876-09-24,-107.79160232834968,-111.79143024227234
268,1876-09-25,-86.791774414427,-107.79160232834968
269,1876-09-26,-87.79194650050432,-86.791774414427
270,1876-09-27,-93.79211858658164,-87.79194650050432
271,1876-09-28,-81.79229067265898,-93.79211858658164
272,1876-09-29,-86.7924627587363,-81.79229067265898
273,1876-09-30,-100.79263484481363,-86.7924627587363
274,1876-10-01,-68.62874443089096,-100.79263484481363
275,1876-10-02,-84.62891651696829,-68.62874443089096
276,1876-10-03,-70.62908860304562,-84.62891651696829
277,1876-10-04,-57.629260689122944,-70.62908860304562
278,1876-10-05,-21.62943277520027,-57.629260689122944
279,1876-10-06,-29.6296048612776,-21.62943277520027
280,1876-10-07,-16.629776947354927,-29.6296048612776
281,1876-10-08,-9.629949033432254,-16.629776947354927
282,1876-10-09,-5.630121119509582,-9.629949033432254
283,1876-10-10,-16.63029320558691,-5.630121119509582
284,1876-10-11,-4.630465291664237,-16.63029320558691
285,1876-10-12,9.369362622258436,-4.630465291664237
286,1876-10-13,5.369190536181108,9.369362622258436
287,1876-10-14,3.3690184501037805,5.369190536181108
288,1876-10-15,-15.631153635973549,3.3690184501037805
289,1876-10-16,-21.631325722050875,-15.631153635973549
290,1876-10-17,-21.6314978081282,-21.631325722050875
291,1876-10-18,-42.63166989420553,-21.6314978081282
292,1876-10-19,-97.63184198028286,-42.63166989420553
293,1876-10-20,-143.63201406636017,-97.63184198028286
294,1876-10-21,-148.6321861524375,-143.63201406636017
295,1876-10-22,-144.63235823851485,-148.6321861524375
296,1876-10-23,-132.63253032459215,-144.63235823851485
297,1876-10-24,-95.6327024106695,-132.63253032459215
298,1876-10-25,-89.63287449674682,-95.6327024106695
299,1876-10-26,-91.63304658282416,-89.63287449674682
300,1876-10-27,-86.63321866890148,-91.63304658282416
301,1876-10-28,-89.6333907549788,-86.63321866890148
302,1876-10-29,-83.63356284105613,-89.6333907549788
303,1876-10-30,-115.63373492713346,-83.63356284105613
304,1876-10-31,-128.63390701321077,-115.63373492713346
305,1876-11-01,-84.06205761491312,-128.63390701321077
306,1876-11-02,-77.06222970099044,-84.06205761491312
307,1876-11-03,-57.06240178706777,-77.06222970099044
308,1876-11-04,-95.0625738731451,-57.06240178706777
309,1876-11-05,-120.06274595922244,-95.0625738731451
310,1876-11-06,-120.06291804529975,-120.06274595922244
311,1876-11-07,-124.06309013137708,-120.06291804529975
312,1876-11-08,-137.0632622174544,-124.06309013137708
313,1876-11-09,-150.06343430353172,-137.0632622174544
314,1876-11-10,-162.06360638960905,-150.06343430353172
315,1876-11-11,-177.06377847568638,-162.06360638960905
316,1876-11-12,-170.0639505617637,-177.06377847568638
317,1876-11-13,-131.06412264784103,-170.0639505617637
318,1876-11-14,-75.06429473391837,-131.06412264784103
319,1876-11-15,-73.0644668199957,-75.06429473391837
320,1876-11-16,-72.06463890607303,-73.0644668199957
321,1876-11-17,-69.06481099215036,-72.06463890607303
322,1876-11-18,-47.06498307822768,-69.06481099215036
323,1876-11-19,-95.065155164305,-47.06498307822768
324,1876-11-20,-99.06532725038232,-95.065155164305
325,1876-11-21,-133.06549933645965,-99.06532725038232
326,1876-11-22,-141.06567142253698,-133.06549933645965
327,1876-11-23,-165.0658435086143,-141.06567142253698
328,1876-11-24,-147.06601559469163,-165.0658435086143
329,1876-11-25,-139.06618768076896,-147.06601559469163
330,1876-11-26,-117.06635976684628,-139.06618768076896
331,1876-11-27,-105.06653185292362,-117.06635976684628
332,1876-11-28,-74.06670393900094,-105.06653185292362
333,1876-11-29,-80.06687602507827,-74.06670393900094
334,1876-11-30,-77.0670481111556,-80.06687602507827
335,1876-12-01,-62.27376316598293,-77.0670481111556
336,1876-12-02,-5.273935252060255,-62.27376316598293
337,1876-12-03,-42.27410733813758,-5.273935252060255
338,1876-12-04,-41.27427942421491,-42.27410733813758
339,1876-12-05,-15.274451510292238,-41.27427942421491
340,1876-12-06,-6.274623596369565,-15.274451510292238
341,1876-12-07,-15.274795682446891,-6.274623596369565
342,1876-12-08,-13.27496776852422,-15.274795682446891
343,1876-12-09,-34.27513985460155,-13.27496776852422
344,1876-12-10,-39.27531194067888,-34.27513985460155
345,1876-12-11,-34.2754840267562,-39.27531194067888
346,1876-12-12,-38.27565611283353,-34.2754840267562
347,1876-12-13,-52.27582819891086,-38.27565611283353
348,1876-12-14,-48.276000284988186,-52.27582819891086
349,1876-12-15,-59.27617237106551,-48.276000284988186
350,1876-12-16,-74.27634445714284,-59.27617237106551
351,1876-12-17,-101.27651654322015,-74.27634445714284
352,1876-12-18,-100.2766886292975,-101.27651654322015
353,1876-12-19,-76.27686071537482,-100.2766886292975
354,1876-12-20,-119.27703280145217,-76.27686071537482
355,1876-12-21,-166.27720488752948,-119.27703280145217
356,1876-12-22,-188.2773769736068,-166.27720488752948
357,1876-12-23,-220.27754905968413,-188.2773769736068
358,1876-12-24,-258.27772114576146,-220.27754905968413
359,1876-12-25,-239.2778932318388,-258.27772114576146
360,1876-12-26,-241.2780653179161,-239.2778932318388
361,1876-12-27,-214.27823740399344,-241.2780653179161
362,1876-12-28,-103.27840949007076,-214.27823740399344
363,1876-12-29,-50.2785815761481,-103.27840949007076
364,1876-12-30,-37.27875366222543,-50.2785815761481
365,1876-12-31,-31.278925748302758,-37.27875366222543
366,1877-01-01,5.634720524994918,-31.278925748302758
367,1877-01-02,-27.36545156108241,5.634720524994918
368,1877-01-03,-62.36562364715974,-27.36545156108241
369,1877-01-04,-23.365795733237064,-62.36562364715974
370,1877-01-05,-23.365967819314392,-23.365795733237064
371,1877-01-06,-22.36613990539172,-23.365967819314392
372,1877-01-07,-30.366311991469047,-22.36613990539172
373,1877-01-08,-5.366484077546375,-30.366311991469047
374,1877-01-09,27.633343836376294,-5.366484077546375
375,1877-01-10,-20.36682824970103,27.633343836376294
376,1877-01-11,-72.36700033577836,-20.36682824970103
377,1877-01-12,-80.36717242185568,-72.36700033577836
378,1877-01-13,-82.36734450793301,-80.36717242185568
379,1877-01-14,-70.36751659401034,-82.36734450793301
380,1877-01-15,-64.36768868008767,-70.36751659401034
381,1877-01-16,-39.367860766165,-64.36768868008767
382,1877-01-17,-60.36803285224231,-39.367860766165
383,1877-01-18,-78.36820493831964,-60.36803285224231
384,1877-01-19,-74.36837702439696,-78.36820493831964
385,1877-01-20,-32.36854911047429,-74.36837702439696
386,1877-01-21,-57.36872119655162,-32.36854911047429
387,1877-01-22,-64.36889328262895,-57.36872119655162
388,1877-01-23,-59.36906536870627,-64.36889328262895
389,1877-01-24,-75.3692374547836,-59.36906536870627
390,1877-01-25,-95.36940954086091,-75.3692374547836
391,1877-01-26,-121.36958162693826,-95.36940954086091
392,1877-01-27,-130.3697537130156,-121.36958162693826
393,1877-01-28,-76.36992579909291,-130.3697537130156
394,1877-01-29,-48.37009788517024,-76.36992579909291
395,1877-01-30,-47.370269971247566,-48.37009788517024
